BTC, GBP
2014-02-03-07-00, 492.309896
2014-02-03-08-00, 496.173737
2014-02-03-09-00, 496.350679
2014-02-03-10-00, 496.734518
2014-02-03-11-00, 495.807619
2014-02-03-12-00, 494.495663
2014-02-03-13-00, 494.913639
2014-02-03-14-00, 495.531370
2014-02-03-15-00, 496.773795
2014-02-03-16-00, 497.337221
2014-02-03-17-00, 498.637212
2014-02-03-18-00, 497.591257
2014-02-03-19-00, 495.674143
2014-02-03-20-00, 494.703311
2014-02-03-21-00, 495.243513
2014-02-03-22-00, 494.442224
2014-02-03-23-00, 494.511797
2014-02-04-00-00, 493.904733
2014-02-04-01-00, 493.035461
2014-02-04-02-00, 492.780967
2014-02-04-03-00, 492.605493
