ETC, GBP
2016-08-24-00-00, 1.157914
2016-08-24-01-00, 1.158127
2016-08-24-02-00, 1.157473
2016-08-24-03-00, 1.154845
2016-08-24-04-00, 1.153215
2016-08-24-05-00, 1.154459
2016-08-24-06-00, 1.208245
2016-08-24-07-00, 1.213366
2016-08-24-08-00, 1.212613
2016-08-24-09-00, 1.213524
2016-08-24-10-00, 1.215998
2016-08-24-11-00, 1.217094
2016-08-24-12-00, 1.187606
2016-08-24-13-00, 1.185506
2016-08-24-14-00, 1.184379
2016-08-24-15-00, 1.183610
2016-08-24-16-00, 1.184616
2016-08-24-17-00, 1.182760
2016-08-24-18-00, 1.119538
2016-08-24-19-00, 1.119049
2016-08-24-20-00, 1.118160
2016-08-24-21-00, 1.117610
2016-08-24-22-00, 1.119163
2016-08-24-23-00, 1.116947
2016-08-25-00-00, 1.071281
2016-08-25-01-00, 1.068847
2016-08-25-02-00, 1.063909
2016-08-25-03-00, 1.067901
2016-08-25-04-00, 1.068462
2016-08-25-05-00, 1.064609
2016-08-25-06-00, 1.043281
2016-08-25-07-00, 1.044134
2016-08-25-08-00, 1.045102
2016-08-25-09-00, 1.045064
2016-08-25-10-00, 1.044101
2016-08-25-11-00, 1.045219
2016-08-25-12-00, 1.013304
2016-08-25-13-00, 1.012994
2016-08-25-14-00, 1.013273
2016-08-25-15-00, 1.014695
2016-08-25-16-00, 1.012784
2016-08-25-17-00, 1.015529
2016-08-25-18-00, 1.045004
2016-08-25-19-00, 1.045696
2016-08-25-20-00, 1.046651
2016-08-25-21-00, 1.046294
2016-08-25-22-00, 1.046204
2016-08-25-23-00, 1.046968
2016-08-26-00-00, 1.065506
2016-08-26-01-00, 1.065073
2016-08-26-02-00, 1.064233
2016-08-26-03-00, 1.065321
2016-08-26-04-00, 1.064913
2016-08-26-05-00, 1.068199
2016-08-26-06-00, 1.023147
2016-08-26-07-00, 1.025163
2016-08-26-08-00, 1.026368
2016-08-26-09-00, 1.025416
2016-08-26-10-00, 1.024895
2016-08-26-11-00, 1.024476
2016-08-26-12-00, 1.131819
2016-08-26-13-00, 1.131075
2016-08-26-14-00, 1.132072
2016-08-26-15-00, 1.131748
2016-08-26-16-00, 1.132588
2016-08-26-17-00, 1.133167
2016-08-26-18-00, 1.080773
2016-08-26-19-00, 1.080654
2016-08-26-20-00, 1.080483
2016-08-26-21-00, 1.081542
2016-08-26-22-00, 1.081105
2016-08-26-23-00, 1.080923
2016-08-27-00-00, 1.068825
2016-08-27-01-00, 1.065650
2016-08-27-02-00, 1.065625
